,search_term,title,author,publisher,ratings_count,average_rating,pub_date,pub_year
5,Nolyn,Daddy's Little Killer (Citi Delgrazo Series),Blaize Nolynne,,1,5.00,"(None, None, None)",
6,Nolyn,"The Captain's Last Year: One Year to Live, Battling the Flame and Cancer",Blaize Nolynne,Ayres Delzario Publishing House Inc.,1,5.00,"('7', '5', '2014')",2014
7,Nolyn,District 1 Stand by,Blaize Nolynne,Createspace,2,5.00,"('8', '1', '2011')",2011
8,Nolyn,District One Stand by: Love Beyond the Flame,Blaize Nolynne,Ayres Delzario Publishing House Inc.,0,0.00,"('9', '11', '2014')",2014
0,"Planetside, Spaceside",Spaceside (Planetside #2),Michael Mammay,,521,4.15,"('8', '27', '2019')",2019
0,Geekomancy,"Geekomancy (Ree Reyes, #1)",Michael R. Underwood,Pocket Star,1314,3.49,"('7', '10', '2012')",2012
1,Geekomancy,A Very Geekomancy Christmas,Michael R. Underwood,,2,4.00,"(None, None, None)",
0,Celebromancy,"Celebromancy (Ree Reyes, #2)",Michael R. Underwood,Pocket Star,683,3.82,"('7', '15', '2013')",2013
0,Hexomancy,"Hexomancy (Ree Reyes, #3)",Michael R. Underwood,Pocket Star,270,3.99,"('9', '14', '2015')",2015
0,The Younger Gods,"The Younger Gods (The Dreamers, #4)",David Eddings,Grand Central Publishing,4605,3.35,"('3', '1', '2007')",2007
1,The Younger Gods,"The Younger Gods (Younger Gods, #1)",Michael R. Underwood,Pocket Star,159,3.40,"('10', '13', '2014')",2014
2,The Younger Gods,The Younger Gods,Michael Underwood,Audible Studios on Brilliance Audio,0,0.00,"('11', '24', '2015')",2015
3,The Younger Gods,The Gods Help Those (Pliny the Younger #7),Albert A. Bell Jr.,,39,4.35,"(None, None, None)",
4,The Younger Gods,The Gods Help Those: A Seventh Case from the Notebooks of Pliny the Younger,Albert A Bell Jr,Perseverance Press,7,4.14,"('9', '15', '2018')",2018
5,The Younger Gods,Chariots of the Gods? Abridged for Younger Readers,Erich von Däniken,,1,3.51,"(None, None, None)",
6,The Younger Gods,The Armor of God: Junior High Group Study: Take younger teens to God's armory!,Kara Powell,Gospel Light,2,4.50,"('12', '1', '2011')",2011
7,The Younger Gods,Biblezone Live (Younger Elementary) (Where the Bible Comes to Life in God's House),Lisa Flinn Barbara Younger,,0,0.00,"(None, None, None)",
8,The Younger Gods,The Gospel: God's Plan for Me - Younger Kids Activity Book,LifeWay Kids,,0,0.00,"(None, None, None)",
9,The Younger Gods,"Spirituall Food, and Physick Viz. Milke for the Younger. Meat for the Stronger. the Substance of Diuinitie. a Pill to Purge Out Popery. the Third Edition, Corrected and Inlarged by the Author Iohn Mico, Preacher of Gods Word in Exceter. (1628)",John Mico,"Proquest, Eebo Editions",0,0.00,"('7', '13', '2010')",2010
0,Attack the Geek,"Attack the Geek (Ree Reyes, #2.5)",Michael R. Underwood,Pocket Star,255,3.87,"('4', '7', '2014')",2014
0,Shield & Crocus,Shield and Crocus,Michael R. Underwood,47North,199,3.29,"('6', '10', '2014')",2014
0,Annihilation Aria,"Annihilation Aria (The Space Operas, #1)",Michael R. Underwood,Parvus Press,54,3.78,"('2', '11', '2020')",2020
0,Inheritance,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,Alfred A. Knopf,1406597,3.90,"('4', None, '2005')",2005
1,Inheritance,Dreams from My Father: A Story of Race and Inheritance,Barack Obama,New York: Three Rivers Press,181967,3.89,"(None, None, '2004')",2004
2,Inheritance,"Brisingr (The Inheritance Cycle, #3)",Christopher Paolini,Alfred A. Knopf,277355,4.05,"('9', '20', '2008')",2008
3,Inheritance,"Eldest (The Inheritance Cycle, #2)",Christopher Paolini,Knopf Books for Young Readers,323456,3.99,"('3', '13', '2007')",2007
4,Inheritance,"Inheritance (The Inheritance Cycle, #4)",Christopher Paolini,Alfred A. Knopf,190504,4.10,"('11', '8', '2011')",2011
5,Inheritance,"The Boleyn Inheritance (The Plantagenet and Tudor Novels, #10)",Philippa Gregory,Atria Books,71261,3.87,"('12', '5', '2006')",2006
6,Inheritance,"The Hundred Thousand Kingdoms (Inheritance, #1)",N.K. Jemisin,Hachette Book Group Orbit,48409,3.85,"('2', '25', '2010')",2010
7,Inheritance,The Inheritance of Loss,Kiran Desai,Grove Press,43917,3.43,"(None, None, '2005')",2005
8,Inheritance,"Inheritance: A Memoir of Genealogy, Paternity, and Love",Dani Shapiro,Knopf Publishing Group,25630,3.90,"('1', '15', '2019')",2019
9,Inheritance,"The Broken Kingdoms (Inheritance, #2)",N.K. Jemisin,Orbit,20969,4.10,"('11', '3', '2010')",2010
10,Inheritance,"The Goddess Inheritance  (Goddess Test, #3)",Aimee Carter,Harlequin Teen,18015,3.96,"('2', '26', '2013')",2013
11,Inheritance,"Eragon, Eldest & Brisingr (Inheritance, #1-3)",Christopher Paolini,,29568,4.23,"(None, None, None)",
12,Inheritance,"Debt Inheritance (Indebted, #1)",Pepper Winters,CreateSpace,17970,3.79,"('8', '14', '2014')",2014
13,Inheritance,"The Kingdom of Gods (Inheritance, #3)",N.K. Jemisin,Orbit,14740,3.96,"('10', '11', '2011')",2011
14,Inheritance,"The Fork, the Witch, and the Worm: Eragon (Tales from Alagaësia #1; The Inheritance Cycle World)",Christopher Paolini,Knopf Books for Young Readers,8826,3.82,"('12', '31', '2018')",2018
15,Inheritance,"Eragon & Eldest (Inheritance, #1-2)",Christopher Paolini,,24895,4.30,"(None, None, None)",
16,Inheritance,"The Inheritance Games (The Inheritance Games, #1)",Jennifer Lynn Barnes,"Little, Brown Books for Young Readers",2935,4.19,"('9', '1', '2020')",2020
17,Inheritance,Orhan's Inheritance,Aline Ohanesian,Algonquin Books,5463,3.94,"('4', '7', '2015')",2015
18,Inheritance,"The Inheritance Trilogy (Inheritance, #1-3.5)",N.K. Jemisin,Orbit,3051,4.25,"('12', '9', '2014')",2014
19,Inheritance,The Scarlatti Inheritance,Robert Ludlum,,11759,3.86,"(None, None, None)",
0,Broken Earth,"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,Orbit,115174,4.28,"('8', '4', '2015')",2015
1,Broken Earth,"The Obelisk Gate (The Broken Earth, #2)",N.K. Jemisin,Orbit,67404,4.29,"('8', '18', '2016')",2016
2,Broken Earth,"The Stone Sky (The Broken Earth, #3)",N.K. Jemisin,Orbit,55315,4.32,"('8', '15', '2017')",2017
3,Broken Earth,"The Broken Earth Trilogy: The Fifth Season, The Obelisk Gate, The Stone Sky",N.K. Jemisin,Orbit,1124,4.54,"('10', '2', '2018')",2018
4,Broken Earth,"Broken Earth (Argurma Salvager, #1)",S.J. Sanders,,1041,4.09,"(None, None, None)",
