,search_term,title,author,publisher,ratings_count,average_rating,pub_date,pub_year
13,Audacious,Planet Google: One Company's Audacious Plan to Organize Everything We Know,Randall E. Stross,,814,3.70,"(None, None, None)",
14,Audacious,Tanking to the Top: The Philadelphia 76ers and the Most Audacious Process in the History of Professional Sports,Yaron Weitzman,,294,4.18,"(None, None, None)",
15,Audacious,"Bag Man: The Wild Crimes, Audacious Cover-Up, and Spectacular Downfall of a Brazen Crook in the White House",Rachel  Maddow,,46,4.65,"(None, None, None)",
16,Audacious,An Audacious Alphabet,Amy J. Francisconi,CreateSpace Independent Publishing Platform,35,4.43,"('4', '12', '2014')",2014
17,Audacious,The Audacious Crimes of Colonel Blood: The Spy Who Stole the Crown Jewels and Became the King's Secret Agent,Robert Hutchinson,Pegasus Books,25,3.10,"('6', '14', '2016')",2016
18,Audacious,Brave Souls: Experiencing the Audacious Power of Empathy,Belinda Bauman,IVP Books,50,4.46,"('4', '2', '2019')",2019
19,Audacious,All for a Few Perfect Waves: The Audacious Life and Legend of Rebel Surfer Miki Dora,David Rensin,It Books,243,3.95,"('4', '8', '2008')",2008
0,Temporary People ,Text Fails: 101 Epic Text Fails that Temporarily Ruined People's Lives (Autocorrect Fails),Chris Chappelle,,742,4.11,"(None, None, None)",
1,Temporary People ,Temporary People,Deepak Unnikrishnan,Restless Books,511,3.47,"('3', '14', '2017')",2017
2,Temporary People ,Temporary People,Steven Gillis,Black Lawrence Press,33,4.09,"('4', '1', '2008')",2008
3,Temporary People ,Migrant Farm Workers: The Temporary People,Linda Jacobs Altman,Franklin Watts,0,0.00,"('3', '28', '1999')",1999
4,Temporary People ,The Impact of Displaced People's Temporary Shelters on Their Surrounding Environment,Suwattana Thadaniti,Springer,0,0.00,"('12', '31', '2013')",2013
5,Temporary People ,"The Impact of Displaced People's Temporary Shelters on their Surrounding Environment: 16 (SpringerBriefs in Environment, Security, Development and Peace)",Suwattana Thadaniti,,0,0.00,"(None, None, None)",
6,Temporary People ,Are My People People Temporary?,Robert Mittenthal,,1,4.00,"(None, None, None)",
7,Temporary People ,Temps Are People Too!: Successfully Onboarding Temporary Workers,Trish Forde,,0,0.00,"(None, None, None)",
8,Temporary People ,Selling People and Skills: The Temporary Work Agency Industry and Organising Work Across National and Cultural Boundaries,Bas Koene,Edward Elgar Publishing,0,0.00,"(None, None, None)",
9,Temporary People ,"The Prymer, or Prayer-Book of the Lay People in the Middle Ages, in English Dating about 1400 A. D, Vol. 2: Collation of Mss;, with a Temporary Introduction &c (Classic Reprint)",Henry Littlehales,Forgotten Books,0,0.00,"('4', '25', '2018')",2018
10,Temporary People ,"Effective Government Now For The New Century: A Report To The People, The Governor, And The Legislators Of New York: The Final Report Of The Temporary State Commission On Constitutional Revision",Nelson A. Rockefeller Institute of Government,,0,0.00,"(None, None, None)",
11,Temporary People ,"The Prymer, or Prayer-Book of the Lay People in the Middle Ages in English Dating about 1400 A. D, Vol. 2: Edited with Introduction and Notes from the Manuscript (G 24) in St. John's College, Cambridge; Collation of Mss; With a Temporary Introduction &c",Henry Littlehales,Forgotten Books,0,0.00,"('4', '28', '2018')",2018
12,Temporary People ,People who overcome: turning temporary crisis into a permanent gift,Dr. Ed Delph,Nationstrategy,0,0.00,"(None, None, '2011')",2011
13,Temporary People ,The Impact of Displaced People S Temporary Shelters on Their Surrounding Environment,Suwattana Thadaniti,Springer,0,0.00,"('12', '13', '2013')",2013
14,Temporary People ,Temporary Croatization of Parts of Eastern Slovenia Between the Sixteenth and Nineteenth Century: Changing Identities at the Meeting Point of Related Peoples,Boris Golec,"Peter Lang Gmbh, Internationaler Verlag Der Wissenschaften",0,0.00,"('6', '22', '2017')",2017
0,Always Greener,The Grass Is Always Greener over the Septic Tank,Erma Bombeck,Fawcett,9338,4.11,"('3', '1', '1995')",1995
1,Always Greener,"The Grass Is Always Greener (Belles, #3)",Jen Calonita,Poppy,1214,3.83,"('4', '16', '2013')",2013
2,Always Greener,The Grass Is Always Greener: The Year of Short Stories,Jeffrey Archer,,1038,3.77,"(None, None, None)",
3,Always Greener,"The Glass is Always Greener (Den of Antiquity, #16)",Tamar Myers,Avon,169,3.38,"('1', '25', '2011')",2011
4,Always Greener,The Grass Ain't Always Greener,Annitia L. Jackson,,26,4.81,"(None, None, None)",
5,Always Greener,Always Greener,J.R.H. Lawless,,45,3.58,"(None, None, None)",
6,Always Greener,Always Green,Patti Hill,Bethany House Publishers,151,3.93,"('8', '1', '2005')",2005
7,Always Greener,"The Erma Bombeck Collection: If Life Is a Bowl of Cherries, What Am I Doing in the Pits?, Motherhood, and The Grass Is Always Greener Over the Septic Tank",Erma Bombeck,Open Road Media,17,4.33,"('5', '21', '2013')",2013
8,Always Greener,Even Though I'm Married 2: The Grass Ain't Always Greener,Denise Smoothe,,26,4.59,"(None, None, None)",
9,Always Greener,A Deadly Love: the grass ain't always greener,Queen Brown,,21,4.62,"(None, None, None)",
10,Always Greener,The Hairdresser's Tale (The Grass Is Always Greener),Drew Thomas,,19,3.47,"(None, None, None)",
11,Always Greener,The Grass is Always Greener,Brindle Chase,Breathless Press,19,3.76,"('8', '13', '2010')",2010
12,Always Greener,The Grass is Always Greener and Other Stories,Sandra Balzo,,9,4.44,"('3', '31', '2011')",2011
13,Always Greener,The Grass Is Always Greener,Michele Jakubowski,Picture Window Books,3,4.00,"('8', '1', '2016')",2016
14,Always Greener,The Grass is Always Greener,Sara Orwig,Bantam Books,11,3.55,"('3', None, '1986')",1986
15,Always Greener,The Grass Is Always Greener On The Other Side,C.J. Hawk,,9,3.82,"('4', '28', '2011')",2011
16,Always Greener,The Grass Is Always Greener,kb0,Fanfiction.net,7,3.43,"('1', '13', '2009')",2009
17,Always Greener,The grass is always greener....,Kareem Rahman,,3,4.00,"(None, None, None)",
18,Always Greener,The Grass is Always Greener in Brazil: A Journey Through the World's Best Footballing Nation,Henrik Brandão Jönsson,Yellow Jersey,6,4.06,"('5', '1', '2014')",2014
19,Always Greener,The Baroness's Tale (The Grass Is Always Greener),Drew Thomas,,4,5.00,"(None, None, None)",
0,Gender Queer: A Memoir ,Gender Queer: A Memoir,Maia Kobabe,,207,4.38,"(None, None, None)",
0,The Seven-Petaled Shield,"The Seven-Petaled Shield (The Seven-Petaled Shield, #1)",Deborah J. Ross,DAW,72,3.42,"('6', '4', '2013')",2013
1,The Seven-Petaled Shield,The Heir of Khored: Book Three of The Seven-Petaled Shield,Deborah J. Ross,DAW,18,3.45,"('6', '3', '2014')",2014
2,The Seven-Petaled Shield,Shannivar: Volume Two of The Seven-Petaled Shield (The Seven-Petaled Shield Trilogy),Deborah J. Ross,,8,3.28,"(None, None, None)",
0,The Way of Shadows,"The Way of Shadows (Night Angel, #1)",Brent Weeks,Orbit,140204,4.14,"('10', '1', '2008')",2008
1,The Way of Shadows,The Way of Shadows: The Graphic Novel,Brent Weeks,Yen Press,466,4.14,"('10', '7', '2014')",2014
2,The Way of Shadows,"The Way of Shadows, Part 2 of 2 (Night Angel, #1, part 2)",Brent Weeks,Graphic Audio,906,4.52,"('4', '1', '2010')",2010
3,The Way of Shadows,"The Way of Shadows, Part 1 of 2 (Night Angel, #1, part 1)",Brent Weeks,GraphicAudio,614,4.50,"('4', '1', '2010')",2010
4,The Way of Shadows,The Way of Shadows: The Graphic Novel (First Chapter Free Preview) (The Night Angel Trilogy),Brent Weeks,,105,4.24,"(None, None, None)",
5,The Way of Shadows,The Way Of The Shadow Wolves,Steven Seagal,,66,2.87,"(None, None, None)",
6,The Way of Shadows,"Mistborn: The Wax and Wayne Series: (Alloy of Law, Shadows of Self, The Bands of Mourning)",Brandon Sanderson,,1271,4.60,"(None, None, None)",
7,The Way of Shadows,The Way of Shadow,Jennifer Wick,Alderac Entertainment Group,20,3.70,"(None, None, '1998')",1998
8,The Way of Shadows,"Way of the Shadows (Shadow Agents: Guts and Glory, #8)",Cynthia Eden,Harlequin,382,4.19,"('8', '19', '2014')",2014
9,The Way of Shadows,"Thinking Wild, The Gifts of Insight: A Way to Make Peace with My Shadow",Theo Grutter,Turning Stone Press,22,3.57,"('3', '1', '2013')",2013
10,The Way of Shadows,The Shadow of Everything Existing (Alaana's Way #5),Ken Altabef,Cat's Cradle Press,77,4.17,"('11', '9', '2014')",2014
11,The Way of Shadows,The Way Of The Shadow Wolves: The Deep State And The Hijacking Of America,Tom Morrissey,"5th Palace Publishing, LLC",1,2.00,"('10', '1', '2017')",2017
12,The Way of Shadows,"The Shadow of the Sun (The Way of the Gods, #1)",Barbara Friend Ish,Mercury Retrograde Press,29,4.14,"('2', '22', '2011')",2011
13,The Way of Shadows,"Women Love Girth... the Fattest 100 Facts on the Way of Shadows: Night Angel Trilogy, Book 1",Charlie Bressing,Lennex,0,0.00,"('1', '16', '2013')",2013
14,The Way of Shadows,The Way of the Shadow Catcher,Margaret R. Mitchell,Xlibris Corporation,1,2.00,"('1', '1', '2006')",2006
15,The Way of Shadows,Harlequin Intrigue September 2014 - Bundle 2 of 2: Way of the Shadows\The Wharf\Stalked,Cynthia Eden,Harlequin Intrigue,2,4.10,"('9', '1', '2014')",2014
16,The Way of Shadows,No Way Out: Precarious Living in the Shadow of Poverty and Drug Dealing,Waverly Duck,University of Chicago Press,20,3.95,"('9', '19', '2015')",2015
17,The Way of Shadows,Shadow Agents Collection Volume 2: Undercover Captor\The Girl Next Door\Evidence of Passion\Way of the Shadows,Cynthia Eden,,11,4.64,"(None, None, None)",
18,The Way of Shadows,"The Path of Shadow: The Dark Way to Enlightenment Through Sex, Love, and Reason",Morgue,,12,4.25,"(None, None, '2018')",2018
19,The Way of Shadows,Third Way Allegiance: Christian Witness in the Shadow of Religious Empire,Tripp York,Pandora Press U. S.,12,4.15,"('7', '15', '2011')",2011
0,Children of Tomorrow ,Children Of Tomorrow,A.E. van Vogt,New English Library,209,3.41,"('5', None, '1973')",1973
1,Children of Tomorrow ,The Children of Tomorrow: A Monk's Guide to Mindful Parenting,Om Swami,,54,4.50,"(None, None, None)",
2,Children of Tomorrow ,The Children of Tomorrow (This Alien Earth Book 3),Paul Antony Jones,,18,4.33,"(None, None, None)",
3,Children of Tomorrow ,Children of Tomorrow,Arthur Leo Zagat,,15,2.65,"(None, None, '2008')",2008
4,Children of Tomorrow ,Children of Tomorrow: Guidelines for Raising Happy Children in the 21st Century,Michael Laitman,Laitman Kabbalah Publishers,11,4.73,"('12', '16', '2011')",2011
5,Children of Tomorrow ,Tomorrow's Children: 18 Tales Of Fantasy And Science Fiction,Isaac Asimov,,536,4.14,"(None, None, None)",
6,Children of Tomorrow ,"12 SCIENCE FICTION NOVELS & NOVELETTES: Tomorrow, Children of Tomorrow, The Land Where Time Stood Still, The Lanson Screen, Flight of the Silver Eagle, ... (Timeless Wisdom Collection Book 3702)",Arthur Leo Zagat,,0,0.00,"(None, None, None)",
7,Children of Tomorrow ,"Beyond the Tomorrow Mountains (Children of the Star, #2)",Sylvia Engdahl,,141,3.90,"(None, None, None)",
8,Children of Tomorrow ,Chaos Revolution and Redemption: The Children of Tomorrow,C.B. Fisher,Authorhouse,0,0.00,"('9', '17', '2008')",2008
9,Children of Tomorrow ,The Children of Tomorrow,Matthew Mahoney,Lulu.com,0,0.00,"('6', '1', '2019')",2019
10,Children of Tomorrow ,Children of Courage: Raising tomorrow's Church,Barnabas Fund,Isaac Publishing LLC,0,0.00,"('9', '1', '2013')",2013
11,Children of Tomorrow ,Children of Tomorrow: Large Print,Arthur Leo Zagat,Independently Published,0,0.00,"('4', '5', '2020')",2020
12,Children of Tomorrow ,Skeletons And Children - Gangsters Of Tomorrow,Eli Masupha,,0,0.00,"(None, None, None)",
13,Children of Tomorrow ,Mental Health For The Children Of Tomorrow,Delia E. Howe,"Harding Press, Incorporated",0,0.00,"('8', '12', '2011')",2011
14,Children of Tomorrow ,The Children of Tomorrow,Christopher Curbishley,Authorhouse,0,0.00,"('1', '12', '2007')",2007
15,Children of Tomorrow ,ADHD - Children of Tomorrow,Giora Ram,,0,0.00,"(None, None, None)",
16,Children of Tomorrow ,Children Of Tomorrow (World Cultural Heritage Library),Neltje Blanchan,,0,3.86,"(None, None, None)",
17,Children of Tomorrow ,Tomorrow's Children: (Spirits of the Earth Book 2),Milo James Fowler,,33,4.42,"(None, None, None)",
18,Children of Tomorrow ,"Tomorrow's Heritage (Children of the Stars, #1)",Juanita Coulson,Del Rey,39,3.61,"('7', '12', '1987')",1987
19,Children of Tomorrow ,Children of Tomorrow,Renee Belden,Freedom Road Publishing,0,0.00,"('1', '22', '2015')",2015
0,THE BLACK CAT MYSTERY,Black Cat and the Accidental Angel (Black Cat Mysteries #3),Elaine Faber,,47,4.51,"(None, None, None)",
1,THE BLACK CAT MYSTERY,Black Cat and the Lethal Lawyer (Black Cat Mysteries #2),Elaine Faber,,38,4.16,"(None, None, None)",
2,THE BLACK CAT MYSTERY,"Books for Girls : Mystery Tales from the Black Cat: (Vampire, Witches, Mysteries Stories, books for kids 9-12) (Mystery book for kid age 9-12)",Diana Molly,,24,4.21,"(None, None, None)",
3,THE BLACK CAT MYSTERY,The Black Cats (Cattarina Mystery #2),Monica Shaughnessy,,5,4.47,"(None, None, None)",
4,THE BLACK CAT MYSTERY,Mr. Eakins' Book of Cats: Illustrated Companion to The Black Cats (Cattarina Mysteries),Monica Shaughnessy,,5,5.00,"(None, None, None)",
5,THE BLACK CAT MYSTERY,"The Black Cat ( Mystery, Thriller & Suspense )",Edgar Allan Poe,,1,4.05,"(None, None, None)",
6,THE BLACK CAT MYSTERY,The Black Cat Mystery (The Lucky Edge Trilogy #1),Mary Scott,Createspace Independent Publishing Platform,0,0.00,"('11', '9', '2016')",2016
7,THE BLACK CAT MYSTERY,The Black Cat Knocks on Wood (A Bad Luck Cat Mystery #2),Kay Finch,Berkley,301,4.01,"('6', '7', '2016')",2016
8,THE BLACK CAT MYSTERY,The Black Cat Sees His Shadow (A Bad Luck Cat Mystery #3),Kay Finch,Berkley Books,246,4.00,"('6', '6', '2017')",2017
9,THE BLACK CAT MYSTERY,The Black Cat Steps on a Crack (A Bad Luck Cat Mystery #4),Kay Finch,,205,4.25,"(None, None, None)",
10,THE BLACK CAT MYSTERY,The Black Cat Mystery,M. Garnet,,0,0.00,"(None, None, None)",
11,THE BLACK CAT MYSTERY,The Mystery House (Wendy & Black Cat Detective #1),Amma Lee,,60,4.45,"(None, None, None)",
12,THE BLACK CAT MYSTERY,Black Cat and the Secret in Dewey's Diary (Black Cat Mysteries Book 4),Elaine Faber,,15,4.47,"(None, None, None)",
13,THE BLACK CAT MYSTERY,"The Black Cat's Clue (Judy Bolton Mysteries, #23)",Margaret Sutton,Applewood Books,54,4.19,"('7', '31', '2008')",2008
14,THE BLACK CAT MYSTERY,The Black Cat Breaks a Mirror (A Bad Luck Cat Mystery #5),Kay Finch,Beyond the Page Publishing,46,4.42,"('7', '21', '2020')",2020
15,THE BLACK CAT MYSTERY,"Black Cats, Corpses and the Pumpkin Pantry (Bohemian Lake Cozy Mystery / Haunted House Flippers Book 5)",Rachael Stapleton,,22,4.82,"(None, None, None)",
16,THE BLACK CAT MYSTERY,"The Secret of Black Cat Gulch (A Connie Blair Mystery, #4)",Betsy Allen,Grosset and Dunlap,24,3.80,"(None, None, '1948')",1948
17,THE BLACK CAT MYSTERY,The Black Cat: A Richard Jury Mystery,Martha Grimes,Signet Book,32,3.81,"('4', '1', '2010')",2010
18,THE BLACK CAT MYSTERY,The Black Cat Caper (A Jennifer Gray Veterinarian Mystery),Georgette Livingston,,17,3.60,"(None, None, None)",
19,THE BLACK CAT MYSTERY,The Cat and the Corpse: A Philip Tolefree Mystery (Black Heath Classic Crime),R.A.J. Walling,,23,4.26,"(None, None, None)",
0,THE RAMSHEAD ALGORITHM AND OTHER STORIES,The Ramshead Algorithm and Other Stories,K.J. Kabza,Pink Narcissus Press,18,3.67,"('1', '16', '2018')",2018
0,Consider the Platypus: Evolution through Biology's Most Baffling Beasts,Consider the Platypus: Evolution through Biology's Most Baffling Beasts,Maggie Ryan Sandford,Black Dog & Leventhal,54,3.93,"('8', '27', '2019')",2019
0,Squad Goals,Hot by Halloween (Squad Goals #1),Jessica Bucher,,144,4.04,"(None, None, None)",
1,Squad Goals,Nerdy by New Year (Squad Goals #2),Jessica Bucher,,60,4.17,"(None, None, None)",
2,Squad Goals,Squad Goals (Underworld Reformatory #1),Demitria Lunetta,Little Fish Publishing,25,4.31,"('4', '14', '2020')",2020
3,Squad Goals,"Promised by Prom (Squad Goals, #3)",M.F. Lorson,,37,4.22,"(None, None, None)",
4,Squad Goals,Squad Goals: The Complete Series,M.F. Lorson,,9,4.44,"(None, None, None)",
5,Squad Goals,Squad Goals (Geek Actually #1.13),Cathy Yardley,Serial Box,13,3.92,"('8', '30', '2017')",2017
6,Squad Goals,Squad Goals: A Superhero Fantasy Adventure,Harmon Cooper,,8,3.97,"(None, None, None)",
7,Squad Goals,Squad Goals,Erika J Kendrick,"Little, Brown Books for Young Readers",2,5.00,"('4', '6', '2021')",2021
8,Squad Goals,#Squad Goals: The Friendship Book,Ella Kasperowicz,Ilex Press,11,4.36,"('9', '4', '2018')",2018
9,Squad Goals,"Hyperspace, Vol. 01: Squad Goals x Rage Quit",Orion Ocean,,4,3.50,"(None, None, None)",
10,Squad Goals,Hasbro Lost Kitties Level 3 Squad Goals: #NOMZ,Maggie Fischer,SFI Readerlink Dist,8,3.62,"('5', '21', '2019')",2019
11,Squad Goals,Hasbro Lost Kitties Level 3 Squad Goals: #ADORBS,Maggie Fischer,SFI Readerlink Dist,7,3.71,"('5', '21', '2019')",2019
12,Squad Goals,Squad Goals: Hot by Halloween,M.F. Lorson,,1,2.00,"(None, None, None)",
13,Squad Goals,Squad Goals,Christia'n Annice,,0,0.00,"(None, None, None)",
14,Squad Goals,Sleeping with Neighbors: From the Debauched Squad Goals Erotica Series,M.C. Byrd,,1,5.00,"(None, None, None)",
15,Squad Goals,Squad Goals: Love,Gavriela Powers,Createspace Independent Publishing Platform,0,0.00,"('3', '21', '2017')",2017
